username,password,firstname,lastname,email,cohort1
mit_student01,Pass@123,MIT,Student01,mit_student01@test.com,MIT_COHORT
mit_student02,Pass@123,MIT,Student02,mit_student02@test.com,MIT_COHORT
mit_student03,Pass@123,MIT,Student03,mit_student03@test.com,MIT_COHORT
mit_student04,Pass@123,MIT,Student04,mit_student04@test.com,MIT_COHORT
mit_student05,Pass@123,MIT,Student05,mit_student05@test.com,MIT_COHORT
mit_student06,Pass@123,MIT,Student06,mit_student06@test.com,MIT_COHORT
mit_student07,Pass@123,MIT,Student07,mit_student07@test.com,MIT_COHORT
mit_student08,Pass@123,MIT,Student08,mit_student08@test.com,MIT_COHORT
mit_student09,Pass@123,MIT,Student09,mit_student09@test.com,MIT_COHORT
mit_student10,Pass@123,MIT,Student10,mit_student10@test.com,MIT_COHORT
mit_student11,Pass@123,MIT,Student11,mit_student11@test.com,MIT_COHORT
mit_student12,Pass@123,MIT,Student12,mit_student12@test.com,MIT_COHORT
